File Name	X	Y	Z	V	SA	ZSA	XY	EV	PrintTime
rotated_x_4_Body	26	32.506	29.524	6738.644	2607.366	76980.134	845.165	24952.744	27.05
rotated_x_4_Bolt1	13.856	18.038	31.316	1575.259	1215.058	38050.156	249.944	7827.116	20.567
rotated_x_4_Bolt2	13.101	20.475	31.151	1315.144	1191.881	37128.645	268.252	8356.387	21.167
rotated_x_4_Bowl1	60	75.73	75.784	108323.791	16316.712	1236538.295	4543.824	344347.132	160.083
rotated_x_4_Bowl2	120	117.162	80.908	422347.051	39450.969	3191903.08	14059.475	1137525.473	392.967
rotated_x_4_Bowl3	126.017	76.833	124.339	521901.75	38695.563	4811350.302	9682.311	1203884.582	349.033
rotated_x_4_Bowl4	122.988	121.769	79.113	518478.785	37248.199	2946829.818	14976.018	1184802.943	332.1
rotated_x_4_Brick1	16	25.23	17.924	2175.819	2228.553	39943.924	403.674	7235.341	18.95
rotated_x_4_Brick2	8	11.296	12.853	446.107	628.829	8082.375	90.368	1161.509	8.067
rotated_x_4_Brick3	15.8	17.866	18.316	1338.287	1908.208	34950.231	282.283	5170.229	16.2
rotated_x_4_BrownBear	17.732	39.303	60.41	10079.58	3694.376	223177.702	696.901	42099.858	48.683
rotated_x_4_Camel	21.982	75.037	80.732	18926.714	7393.327	596879.965	1649.454	133164.112	81.7
rotated_x_4_Cannon	80	63.491	50.246	66161.234	16618.57	835018.749	5079.25	255212.621	125.533
rotated_x_4_Cat	89.016	69.5	58.088	82622.287	11911.895	691932.555	6186.64	359366.663	119.517
rotated_x_4_Character1	85	119.743	130.1	171786.878	41004.66	5334712.168	10178.17	1324181.408	307.783
rotated_x_4_Character2	89	92.668	100.327	173283.293	42163.324	4230140.563	8247.464	827447.392	294.117
rotated_x_4_ChessBishop	31.752	55.505	55.042	12794.466	4820.958	265355.989	1762.405	97006.626	50.917
rotated_x_4_ChessKing	36.504	65.421	72.521	19390.32	6184.433	448499.409	2388.127	173188.645	77.783
rotated_x_4_ChessKnight	31.752	32.022	53.825	14938.051	4618.924	248611.676	1016.775	54727.498	48.933
rotated_x_4_ChessPawn	27	45.588	27.078	7529.69	3098.643	83905.444	1230.882	33329.968	27.567
rotated_x_4_Chicken	139.859	117.649	160.672	736649.165	50966.633	8188928.565	16454.296	2643750.374	648
rotated_x_4_ChristmasTree1	72.738	76.504	103.208	123672.839	18582.318	1917835.694	5564.786	574327.936	186.183
rotated_x_4_ChristmasTree2	56.25	71.347	102.644	56338.428	12176.942	1249890.318	4013.279	411939.096	119.2
rotated_x_4_Cone1	129.815	186.784	121.992	959937.504	63013.438	7687120.641	24247.304	2957971.429	590.35
rotated_x_4_Cone2	136.041	182.26	157.253	1082047.455	68108.656	10710279.5	24794.75	3899044.821	794.167
rotated_x_4_Cone3	60	180.255	59.681	216768.133	33913.805	2024004.077	10815.286	645465.245	323.2
rotated_x_4_Cow1	19.915	69.391	42.481	14757.157	4558.771	193659.863	1381.914	58704.673	36.35
rotated_x_4_Cow2	117.797	142.354	148.641	599617.372	45542.406	6769471.187	16768.868	2492542.163	541.333
rotated_x_4_Cup1	132.531	163.533	203.934	1084936.213	83008.672	16928278.3	21673.142	4419887.276	939.85
rotated_x_4_Cup2	56.833	172.299	156.572	199538.719	35842.133	5611881.205	9792.32	1533205.042	457.55
rotated_x_4_Cup3	93.132	199.141	178.297	740039.195	62090.078	11070479.22	18546.365	3306762.688	792.383
rotated_x_4_Cup4	94.348	200.788	172.417	714724.713	59614.098	10278496.15	18944.008	3266272.883	744.25
rotated_x_4_Cup5	45.545	128.901	178.656	135525.162	31504.158	5628405.63	5870.778	1048849.566	347.3
rotated_x_4_Cylinder1	128	210.657	176.722	2073706.105	91842.039	16230483.61	26964.084	4765139.447	1148.167
rotated_x_4_Cylinder2	120	208.843	213.7	1792241.764	89380.344	19100549.18	25061.113	5355551.288	1029.55
rotated_x_4_Cylinder3	133.148	194.673	158.316	2224922.595	101486.305	16066947.04	25920.308	4103610.01	1321.65
rotated_x_4_Cylinder4	120	214.858	188.63	1729858.924	90359.109	17044461.3	25782.951	4863444.477	1061.217
rotated_x_4_Cylinder5	120	123.599	183.548	1223194.959	83903.898	15400395.66	14831.906	2722367.108	632.85
rotated_x_4_Dino	41.519	74.572	55.678	40959.964	8943.541	497956.34	3096.13	172385.608	78.617
rotated_x_4_Dog	27.808	120.773	69.718	37153.592	10797.197	752762.072	3358.483	234147.689	88.4
rotated_x_4_Dolphin	21.562	25.48	74.616	5184.053	2472.48	184487.447	549.389	40993.375	44.567
rotated_x_4_ElephantHead	105.934	117.753	102.567	125285.754	24131.199	2475064.006	12473.984	1279418.754	210.133
rotated_x_4_Frog	64.449	22.527	49.565	10562.619	4624.117	229195.032	1451.844	71960.849	48.75
rotated_x_4_Giraffe	70.316	84.974	50.51	36621.952	9013.027	455244.455	5975.038	301796.791	80.183
rotated_x_4_Glass1	119.476	119.475	180.16	1284643.558	71491.031	12879812.45	14274.401	2571673.75	561.6
rotated_x_4_Glass2	119.325	116.308	188.921	1033029.373	66842.609	12627969.9	13878.495	2621938.645	562.283
rotated_x_4_Glass3	126.601	205.077	189.282	1316323.391	75709.063	14330353.35	25963.064	4914337.494	978.567
rotated_x_4_Labrador	72.469	107.199	114.233	178620.812	23439.547	2677571.408	7768.589	887429.758	185.15
rotated_x_4_LargeCreature	50.495	33.068	40.97	4427.834	4354.468	178401.54	1669.785	68410.719	31.45
rotated_x_4_Leg	12.4	41.879	20.621	1047.415	1347.357	27783.678	519.302	10708.466	13.767
rotated_x_4_Mask1	138.205	64.076	87.493	73985.927	27985.154	2448498.594	8855.657	774805.932	270.367
rotated_x_4_Mask2	18.87	13.145	26.557	633.568	1371.205	36414.625	248.054	6587.493	15.2
rotated_x_4_Moai	59.117	56.124	80.548	51205.02	10154.174	817902.697	3317.87	267249.171	100.367
rotated_x_4_Moose	63.126	111.543	83.271	48481.974	15411.506	1283332.15	7041.25	586332.249	127.433
rotated_x_4_Owl	76.478	158.389	102.276	331614.298	36308.207	3713474.838	12113.176	1238892.733	370.55
rotated_x_4_panter	26.304	58.064	105.186	22845.583	7847.866	825483.365	1527.323	160652.551	100.417
rotated_x_4_Parrot	29.963	39.026	84.931	14527.183	6181.278	524983.945	1169.312	99311.227	71.067
rotated_x_4_Pattern1	52.062	65.088	57.284	90269.509	10076.085	577199.416	3388.61	194113.443	74.6
rotated_x_4_Pattern2	52.908	65.895	55.953	90110.239	13349.805	746955.142	3486.342	195069.617	146.85
rotated_x_4_phoneHolder	25	72.289	109.838	33479.415	17501.404	1922319.601	1807.23	198502.523	143.983
rotated_x_4_PhoneStand	83.567	98.534	106.169	86585.897	30492.348	3237337.134	8234.16	874211.224	253.683
rotated_x_4_plantygonNoholes	100	109.786	109.786	62414.576	43451.758	4770415.372	10978.656	1205307.954	282.267
rotated_x_4_Pumpkin1	71.601	70.021	72.057	66462.871	22487.873	1620410.194	5013.538	361260.865	150.733
rotated_x_4_Pumpkin2	86.38	62.979	82.474	181434.418	18263.252	1506236.596	5440.067	448662.086	148.7
rotated_x_4_Rabbit	46.782	52.186	46.032	25750.584	6509.064	299625.438	2441.353	112380.433	62.45
rotated_x_4_RhinoHead	53.77	74.437	68.241	101434.249	14699.434	1003106.588	4002.508	273135.838	103.683
rotated_x_4_Rod	8	97.884	33.912	3762.486	3119.288	105780.211	783.074	26555.321	36.867
rotated_x_4_Skull	21.824	35.544	26.773	8084.774	3285.941	87973.202	775.718	20767.988	28.317
rotated_x_4_Snake	94.886	131.387	131.929	707474.329	46966.867	6196279.678	12466.725	1644719.367	431.133
rotated_x_4_Squirrel	34.741	62.096	50.603	37118.845	6971.979	352804.758	2157.283	109165.501	62.533
rotated_x_4_Toy3	46.101	40.093	54.8	15087.394	6568.07	359933.305	1848.345	101290.18	71.933
rotated_x_4_Toy4	32.582	49.346	48.437	23432.366	6156.563	298207.087	1607.784	77876.68	53.183
rotated_x_4_Toy5	71.634	55.373	50.318	23430.465	7455.113	375129.268	3966.598	199592.81	91.2
rotated_x_4_Toy6	72.98	31.667	43.255	37552.063	9187.685	397413.411	2311.042	99964.152	68.233
rotated_x_4_Tyrannosaurus	16.219	38.522	76.184	5134.689	2860.717	217941.367	624.774	47597.926	44.383
rotated_x_4_UnicornHead	50.292	79.483	84.706	64474.008	13923.892	1179436.011	3997.322	338596.827	111.917
rotated_x_4_Vase1	131.852	147.07	195.572	1153719.439	64448.109	12604269.65	19391.501	3792441.953	659.617
rotated_x_4_Vase2	109.631	144.179	189.92	677791.253	54633.957	10376093.52	15806.539	3001981.557	550.8
rotated_x_4_Vase3	122.7	188.558	171.963	746800.016	53746.063	9242309.405	23135.976	3978521.204	595.717
rotated_x_4_Vase4	120	209.259	192.438	1366470.787	75910.953	14608133.73	25111.121	4832327.785	852.733
rotated_x_4_Vase5	115.911	179.933	209.64	1270092.312	73507.844	15410219.09	20856.234	4372310.711	761.6
rotated_x_4_Vase6	129.869	167.892	198.696	1226886.302	76504.414	15201083.64	21803.928	4332342.536	1003.65
rotated_x_4_Vase7	110.149	185.545	198.648	554016.21	59480.078	11815580.11	20437.65	4059891.958	654.667
rotated_x_4_Vase8	128.45	181.912	209.339	1422953.654	82588.125	17288903.27	23366.514	4891519.257	1133.683
rotated_x_4_Whale	300.224	114.385	102.112	297559.888	40098.5	4094518.739	34340.971	3506608.724	507.85
rotated_x_4_Wolf	196.445	126.11	106.303	306912.664	43770.523	4652930.668	24773.759	2633520.748	525.05
rotated_x_5_ARM	10.85	24.14	29.358	534.08	685.664	20129.84	261.919	7689.456	12.417
rotated_x_5_Bear	114.927	206.545	120.057	521494.141	56594.398	6794549.762	23737.635	2849867.578	577.283
rotated_x_5_Body	26	28.256	33.015	6738.644	2607.366	86083.447	734.668	24255.402	29.7
rotated_x_5_Bolt1	13.856	30.413	23.237	1575.259	1215.058	28234.692	421.409	9792.429	18.4
rotated_x_5_Bolt2	13.101	31.307	17.447	1315.144	1191.881	20794.976	410.161	7156.156	14.05
rotated_x_5_Bowl1	60	69.58	74.637	108323.789	16316.712	1217829.822	4174.778	311592.761	153.083
rotated_x_5_Bowl2	120	119.988	60.741	422347.04	39450.965	2396287.94	14398.583	874583.178	289.267
rotated_x_5_Bowl3	126.017	126.136	68.216	521901.756	38695.563	2639654.852	15895.262	1084310.52	396.75
rotated_x_5_Bowl4	122.988	104.63	113.724	518478.779	37248.195	4235996.961	12868.219	1463419.521	337.033
rotated_x_5_Brick1	16	19.977	24.774	2175.819	2228.553	55210.761	319.636	7918.744	22.467
rotated_x_5_Brick2	8	11.911	12.884	446.107	628.829	8101.622	95.291	1227.694	8.283
rotated_x_5_Brick3	15.8	18.308	16.124	1338.287	1908.208	30768.187	289.266	4664.157	13.967
